Category,Precision,Recall,F1-Score,Support
related,0.72,0.32,0.45,1267
request,0.91,0.98,0.94,4316
offer,1,1,1,5223
aid_related,0.78,0.86,0.82,3111
medical_help,0.93,1,0.96,4825
medical_products,0.96,1,0.98,5001
search_and_rescue,0.98,1,0.99,5109
security,0.98,1,0.99,5164
military,0.97,1,0.98,5080
child_alone,1,1,1,5244
water,0.97,0.99,0.98,4902
food,0.97,0.98,0.97,4678
shelter,0.95,0.99,0.97,4779
clothing,0.99,1,0.99,5168
money,0.98,1,0.99,5123
missing_people,0.99,1,0.99,5190
refugees,0.97,1,0.99,5096
death,0.97,1,0.98,5001
other_aid,0.88,0.99,0.93,4583
infrastructure_related,0.93,1,0.97,4902
transport,0.96,1,0.98,5012
buildings,0.95,1,0.97,4959
electricity,0.98,1,0.99,5144
tools,0.99,1,1,5217
hospitals,0.99,1,0.99,5186
shops,1,1,1,5224
aid_centers,0.99,1,0.99,5176
other_infrastructure,0.96,1,0.98,5016
weather_related,0.9,0.95,0.92,3818
floods,0.96,1,0.98,4815
storm,0.96,0.98,0.97,4764
fire,0.99,1,1,5196
earthquake,0.98,0.99,0.99,4766
cold,0.98,1,0.99,5138
other_weather,0.95,1,0.97,4967
direct_report,0.88,0.97,0.92,4218
